id,name,description,neighborhood_overview,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighborhood,neighborhood_group,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
30219526,10897,15314,1,2753,8748,1,49,98,27,1.0,1.0,0,4,4,52.36424,4.898219999999999,24,0,2,1.0,1.0,1.0,28,400.0,3,1125,0,0,0,0,0,2,0,0,20.0,10.0,4.0,2.0,2.0,10.0,2.0,1,1,0,0,0.09
30226946,13047,7969,1,2752,3913,1,49,96,39,1.0,1.0,2,21,21,52.3585,4.87549,50,1,4,1.0,1.0,2.0,24,273.0,2,365,0,0,0,0,0,55,21,0,85.0,9.0,9.0,9.0,9.0,9.0,8.0,1,0,0,0,2.64
30230509,17014,7886,0,883,8589,1,49,2,49,1.0,1.0,2,7,7,52.368159999999996,4.8566199999999995,7,0,2,1.0,1.0,1.0,13,109.0,3,6,0,0,0,0,0,3,1,0,93.0,9.0,10.0,9.0,10.0,9.0,10.0,1,1,0,0,0.14
30231382,17995,4525,0,1164,8066,1,49,98,79,1.0,1.0,2,19,19,52.33795,4.91933,7,0,2,1.0,1.0,1.0,20,90.0,1,1125,0,0,0,0,0,0,0,0,,,,,,,,1,1,0,0,
30240231,2672,2839,2,2754,8748,1,49,98,4,1.0,1.0,2,2,2,52.37795,4.84719,7,0,2,1.0,1.0,1.0,24,140.0,3,8,0,0,0,0,0,6,0,0,97.0,10.0,9.0,10.0,10.0,9.0,10.0,1,1,0,0,0.27
30246703,11688,8066,2,3238,8748,1,49,98,79,,,1,20,20,52.38399999999999,4.87536,7,0,4,1.0,2.0,2.0,23,100.0,42,1125,0,0,0,0,0,0,0,0,,,,,,,,52,52,0,0,
30250279,13292,1621,3,2069,8748,4,44,2,43,2.0,2.0,2,4,4,52.37103,4.91205,27,2,4,1.0,1.0,4.0,15,45.0,2,20,0,15,40,67,67,95,27,2,90.0,9.0,9.0,9.0,9.0,10.0,8.0,1,0,1,0,4.23
30251982,11947,2039,0,2754,8748,1,49,98,4,1.0,1.0,0,2,2,52.37624,4.8435,7,0,2,1.0,,1.0,25,100.0,5,50,0,0,0,0,0,1,0,0,60.0,6.0,2.0,8.0,10.0,8.0,4.0,1,1,0,0,0.07
30261748,962,15802,3,2145,1860,4,2,79,46,2.0,2.0,2,17,17,52.35738,4.90766,27,2,4,1.0,2.0,2.0,27,100.0,3,30,0,23,53,72,347,31,10,0,90.0,9.0,10.0,10.0,10.0,10.0,9.0,1,0,1,0,1.38
30262724,16435,12605,1,1569,7719,1,49,0,29,1.0,1.0,2,16,16,52.38327,4.9168400000000005,7,0,2,1.0,1.0,1.0,11,75.0,26,32,0,0,0,7,282,0,0,0,,,,,,,,1,1,0,0,
30264084,4234,8730,0,1443,8748,1,49,98,49,1.0,1.0,2,7,7,52.36843,4.87456,18,0,4,1.0,2.0,2.0,16,180.0,2,14,0,0,0,0,0,4,0,0,100.0,10.0,10.0,10.0,10.0,9.0,9.0,1,1,0,0,0.18
30264830,9421,13001,0,1994,6055,1,49,98,79,1.0,1.0,2,10,10,52.38332,4.8376,41,2,2,1.0,1.0,1.0,1,100.0,1,1125,0,0,0,0,0,3,0,0,60.0,5.0,5.0,7.0,8.0,9.0,5.0,1,0,1,0,0.14
30264925,14092,11364,0,1970,7436,4,30,2,18,3.0,3.0,2,5,5,52.37249,4.89728,27,2,2,1.0,1.0,1.0,19,63.0,1,1125,0,0,0,0,0,109,36,2,94.0,10.0,10.0,10.0,9.0,10.0,9.0,2,0,2,0,5.03
30265278,2737,11363,0,1970,7436,4,30,2,18,3.0,3.0,2,5,5,52.371970000000005,4.8975599999999995,27,2,2,1.0,1.0,1.0,20,63.0,1,1125,0,30,60,90,180,79,30,0,95.0,9.0,9.0,10.0,9.0,10.0,9.0,2,0,2,0,3.73
